# ----------------------------------------
# kizunacare.com
# UTM Report - Non-Event Metrics-Free form 1
# 20250101-20250113
# ----------------------------------------

Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Sessions,Engaged sessions
20250104,business.facebook.com / referral,(referral),(not set),(not set),1,0
20250104,facebook.com / referral,(referral),(not set),(not set),1,1
20250104,google / cpc,(not set),(not set),(not set),1,0
20250104,google / organic,(organic),(not set),(not provided),1,1
20250104,m.prod.facebook.com / referral,(referral),(not set),(not set),1,0
20250104,marinij / email,(not set),(not set),(not set),1,0
20250105,duckduckgo / organic,(organic),(not set),(not set),1,0
20250105,google / cpc,(not set),(not set),(not set),1,0
20250105,google / organic,(organic),(not set),(not provided),1,1
20250105,marinij / email,(not set),(not set),(not set),1,0
20250106,cn.bing.com / referral,(referral),(not set),(not set),1,1
20250106,duckduckgo / organic,(organic),(not set),(not set),1,1
20250106,listrak / Email,Need In-Home Care? Free Matching Ends Soon! 🏠,(not set),https://kizunacare.com/continue/?utm_source=marinij&utm_medium=email,1,0
20250106,marinij / email,(not set),(not set),(not set),1,0
20250106,search.google.com / referral,(referral),(not set),(not set),1,1
20250106,us.search.yahoo.com / referral,(referral),(not set),(not set),1,1
20250107,(not set),(not set),(not set),(not set),1,0
20250107,bluehost.com / referral,(referral),(not set),(not set),1,1
20250108,apps.usw2.pure.cloud / referral,(referral),(not set),(not set),1,1
20250108,bluehost.com / referral,(referral),(not set),(not set),1,1
20250108,google / cpc,(referral),(not set),(not set),1,0
20250108,l.instagram.com / referral,(referral),(not set),(not set),1,0
20250108,marinij / email,(not set),(not set),(not set),1,0
20250108,sh118.webhostingservices.com:2083 / referral,(referral),(not set),(not set),1,0
20250109,(not set),(not set),(not set),(not set),1,0
20250109,marinij / email,(not set),(not set),(not set),1,0
20250110,127.0.0.1:5500 / referral,(referral),(not set),(not set),1,1
20250110,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,0
20250110,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,1,0
20250110,l.instagram.com / referral,(referral),(not set),(not set),1,0
20250110,medium.com / referral,(referral),(not set),(not set),1,1
20250111,duckduckgo / organic,(organic),(not set),(not set),1,1
20250112,(not set),(not set),(not set),(not set),1,0
20250112,facebook.com / referral,(referral),(not set),(not set),1,0
20250112,google / organic,(organic),(not set),(not provided),1,1
20250112,yahoo / organic,(organic),(not set),(not provided),1,1
20250113,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250113,business.facebook.com / referral,(referral),(not set),(not set),1,1
20250113,linkedin.com / referral,(referral),(not set),(not set),1,1

